Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,11/01/2020,13.7,10.4,12.2,,,2.11,0,0,17.5,185.21,,17.8,0,94.16,Rain
Deutschland,11/02/2020,19.3,13.9,16.3,,,10.04,0,0,20.3,203.54,,33.2,,87.87,Rain
Deutschland,11/03/2020,15.5,9.2,11.7,7.3,,0.14,0,0,24.2,247.29,,39.5,4.3,77.92,Rain
Deutschland,11/04/2020,10.7,5,8.1,2.2,,0,0,0,19.3,251.13,,39.9,3.5,79.62,Clear
Deutschland,11/05/2020,10.1,2.9,6.6,-0.3,,0,0,0,18.8,245.75,,25.6,3.3,87.88,Clear
Deutschland,11/06/2020,9.7,8.2,8.8,5.5,,0,0,0,17.4,255.83,,11.6,,91.12,Clear
Deutschland,11/07/2020,11.2,3.7,7.4,1.9,,0,0,0,11.3,150.46,,16.9,0.8,88.87,Clear
Deutschland,11/08/2020,8.1,1.4,4.3,-1.4,,0,0,0,13.7,122.75,,12.1,0.7,93.8,Clear
Deutschland,11/09/2020,5.9,5,5.4,2.3,,0,0,0,12.8,104.13,,2.8,,95.79,Clear
Deutschland,11/10/2020,5.5,4.6,5.1,1.6,,0,0,0,13.3,119.67,,6.2,,94.04,Clear
Deutschland,11/11/2020,6.5,5.1,5.7,3.4,,0,0,0,8,121.96,,10.3,,87.59,Clear
Deutschland,11/12/2020,9.8,5.5,7.2,3.4,,0.05,0,0,16.5,159.21,,19.1,13,86.47,Rain
Deutschland,11/13/2020,11,5.5,7.4,3,,0,0,0,12.5,190.63,,23,9,89.49,Clear
Deutschland,11/14/2020,13.9,7.7,10.8,5.8,,0.29,0,0,16.1,191.83,,24.3,,90.78,Rain
Deutschland,11/15/2020,14,7.1,9.9,3.8,,0,0,0,20.9,169.08,,38.4,,78.93,Clear
Deutschland,11/16/2020,11.8,7.2,9.1,3.8,,0.99,0,0,20.5,206.04,,33.5,,83.96,Rain
Deutschland,11/17/2020,10.6,7.1,9.6,4.7,,0.49,0,0,17.6,221.21,,33.1,,89.51,Rain
Deutschland,11/18/2020,12.1,8.4,10.6,5.4,,0,0,0,21.1,206.54,,44.2,13,82.13,Clear
Deutschland,11/19/2020,10.9,4.2,8.8,0.4,,0.85,0,0,28.4,238.46,,37,0,74.38,Rain
Deutschland,11/20/2020,5.3,0.3,2.8,-3.1,,0.04,0,0,21.2,264.42,,35.1,2.6,86.62,Rain
Deutschland,11/21/2020,6.4,-0.4,3,-4.2,,0,0,0,23.4,207.21,,17.6,5.2,82.04,Clear
Deutschland,11/22/2020,9.8,5.9,7.3,2.7,,0.2,0,0,23.6,232.67,,45.9,,81.22,Rain
Deutschland,11/23/2020,8.1,3.6,5.6,0.3,,0,0,0,23.4,250.13,,36.3,5.6,86.58,Clear
Deutschland,11/24/2020,6.8,0.5,2.8,-3.7,,0,0,0,15.5,197.38,,22,4.3,89.98,Clear
Deutschland,11/25/2020,2.3,-0.5,0.6,-4.1,,0,0,0,14.1,168.75,,5.7,5,96.56,Clear
Deutschland,11/26/2020,6.5,-0.3,3.4,-4.7,,0.34,0,0,14.5,217.13,,6.5,1.9,96.51,Rain
Deutschland,11/27/2020,6.6,3.5,5.5,1.4,,0,0,0,8.9,136.13,,6.9,0,98.5,Clear
Deutschland,11/28/2020,4.9,0.8,3.1,2.3,,0,0,0,4.9,79,,14.3,0,84.6,Clear
Deutschland,11/29/2020,4.2,-0.3,1.7,-2.7,,0.23,0,0,11.4,312.65,,19.2,0,91.61,Rain
Deutschland,11/30/2020,2.1,-0.2,0.9,-3,,0,0,0,13.1,217.25,,26.8,0,86.97,Clear
Deutschland,11/01/2020,13.7,10.4,12.2,,,2.11,0,0,17.5,185.21,,17.8,0,94.16,Rain
Deutschland,11/02/2020,19.3,13.9,16.3,,,10.04,0,0,20.3,203.54,,33.2,,87.87,Rain
Deutschland,11/03/2020,15.5,9.2,11.7,7.3,,0.14,0,0,24.2,247.29,,39.5,4.3,77.92,Rain
Deutschland,11/04/2020,10.7,5,8.1,2.2,,0,0,0,19.3,251.13,,39.9,3.5,79.62,Clear
Deutschland,11/05/2020,10.1,2.9,6.6,-0.3,,0,0,0,18.8,245.75,,25.6,3.3,87.88,Clear
Deutschland,11/06/2020,9.7,8.2,8.8,5.5,,0,0,0,17.4,255.83,,11.6,,91.12,Clear
Deutschland,11/07/2020,11.2,3.7,7.4,1.9,,0,0,0,11.3,150.46,,16.9,0.8,88.87,Clear
Deutschland,11/08/2020,8.1,1.4,4.3,-1.4,,0,0,0,13.7,122.75,,12.1,0.7,93.8,Clear
Deutschland,11/09/2020,5.9,5,5.4,2.3,,0,0,0,12.8,104.13,,2.8,,95.79,Clear
Deutschland,11/10/2020,5.5,4.6,5.1,1.6,,0,0,0,13.3,119.67,,6.2,,94.04,Clear
Deutschland,11/11/2020,6.5,5.1,5.7,3.4,,0,0,0,8,121.96,,10.3,,87.59,Clear
Deutschland,11/12/2020,9.8,5.5,7.2,3.4,,0.05,0,0,16.5,159.21,,19.1,13,86.47,Rain
Deutschland,11/13/2020,11,5.5,7.4,3,,0,0,0,12.5,190.63,,23,9,89.49,Clear
Deutschland,11/14/2020,13.9,7.7,10.8,5.8,,0.29,0,0,16.1,191.83,,24.3,,90.78,Rain
Deutschland,11/15/2020,14,7.1,9.9,3.8,,0,0,0,20.9,169.08,,38.4,,78.93,Clear
Deutschland,11/16/2020,11.8,7.2,9.1,3.8,,0.99,0,0,20.5,206.04,,33.5,,83.96,Rain
Deutschland,11/17/2020,10.6,7.1,9.6,4.7,,0.49,0,0,17.6,221.21,,33.1,,89.51,Rain
Deutschland,11/18/2020,12.1,8.4,10.6,5.4,,0,0,0,21.1,206.54,,44.2,13,82.13,Clear
Deutschland,11/19/2020,10.9,4.2,8.8,0.4,,0.85,0,0,28.4,238.46,,37,0,74.38,Rain
Deutschland,11/20/2020,5.3,0.3,2.8,-3.1,,0.04,0,0,21.2,264.42,,35.1,2.6,86.62,Rain
Deutschland,11/21/2020,6.4,-0.4,3,-4.2,,0,0,0,23.4,207.21,,17.6,5.2,82.04,Clear
Deutschland,11/22/2020,9.8,5.9,7.3,2.7,,0.2,0,0,23.6,232.67,,45.9,,81.22,Rain
Deutschland,11/23/2020,8.1,3.6,5.6,0.3,,0,0,0,23.4,250.13,,36.3,5.6,86.58,Clear
Deutschland,11/24/2020,6.8,0.5,2.8,-3.7,,0,0,0,15.5,197.38,,22,4.3,89.98,Clear
Deutschland,11/25/2020,2.3,-0.5,0.6,-4.1,,0,0,0,14.1,168.75,,5.7,5,96.56,Clear
Deutschland,11/26/2020,6.5,-0.3,3.4,-4.7,,0.34,0,0,14.5,217.13,,6.5,1.9,96.51,Rain
Deutschland,11/27/2020,6.6,3.5,5.5,1.4,,0,0,0,8.9,136.13,,6.9,0,98.5,Clear
Deutschland,11/28/2020,4.9,0.8,3.1,2.3,,0,0,0,4.9,79,,14.3,0,84.6,Clear
Deutschland,11/29/2020,4.2,-0.3,1.7,-2.7,,0.23,0,0,11.4,312.65,,19.2,0,91.61,Rain
Deutschland,11/30/2020,2.1,-0.2,0.9,-3,,0,0,0,13.1,217.25,,26.8,0,86.97,Clear
