Date;Description;Day
01.01.2018;Neujahr;Monatg
01.06.2018;Heilige Drei Könige;Samstag
03/30/2018;Karfreitag;Freitag
04.02.2018;Ostermontag;Montag
05.01.2018;Tag der Arbeit;Dienstag
05.10.2018;Christi Himmelfahrt;Donnerstag
05/21/2018;Pfingstmontag;Montag
05/31/2018;Fronleichnam;Donnerstag
10.03.2018;Tag der Deutschen Einheit;Mittwoch
11.01.2018;Allerheiligen;Mittwoch
12/25/2018;1. Weihnachtstag;Dienstag
12/26/2018;2. Weihnachtstag;Mittwoch
01.01.2019;Neujahr;Dienstag
01.06.2019;Heilige Drei Könige;Sonntag
04/19/2019;Karfreitag;Freitag
04/22/2019;Ostermontag;Montag
05.01.2019;Maifeiertag;Mittwoch
05/30/2019;Christi Himmelfahrt;Donnerstag
06.10.2019;Pfingstmontag;Montag
06/20/2019;Fronleichnam;Donnerstag
10.03.2019;Tag der Deutschen Einheit;Donnerstag
11.01.2019;Allerheiligen;Freitag
12/25/2019;1. Weihnachtstag;Mittwoch
12/26/2019;2. Weihnachtstag;Donnerstag
01.01.2020;Neujahr;Mittwoch
01.06.2020;Heilige drei Könige;Montag
02/14/2020;Valentinstag;Freitag
02/26/2020;Aschermittwoch;Mittwoch
03/29/2020;Sommerzeit Beginn;Sonntag
04.05.2020;Palmsonntag;Sonntag
04.10.2020;Karfreitag;Freitag
04.12.2020;Ostern;Sonntag
04/13/2020;Ostermontag;Montag
05.01.2020;Tag der Arbeit;Freitag
05.09.2020;Europatag;Samstag
05.10.2020;Muttertag;Sonntag
05/21/2020;Christi Himmelfahrt;Donnerstag
05/31/2020;Pfingsten;Sonntag
06.01.2020;Pfingstmontag;Montag
06.11.2020;Fronleichnam;Donnerstag
10.03.2020;Tag der Deutschen Einheit;Samstag
10/25/2020;Sommerzeit Ende;Sonntag
11.01.2020;Allerheiligen;Sonntag
11/15/2020;Volkstrauertag;Sonntag
11/22/2020;Ewigkeitssonntag;Sonntag
11/29/2020;Erster Advent;Sonntag
12.06.2020;Zweiter Advent;Sonntag
12.06.2020;St. Nikolaus;Sonntag
12/13/2020;Dritter Advent;Sonntag
12/20/2020;Vierter Advent;Sonntag
12/24/2020;Heiliger Abend;Donnerstag
12/25/2020;Weihnachten;Freitag
12/26/2020;Zweiter Weihnachtsfeiertag;Samstag
12/31/2020;Silvester;Donnerstag
01.01.2021;Neujahr;Freitag
01.06.2021;Heilige drei Könige;Mittwoch
02/14/2021;Valentinstag;Sonntag
02/17/2021;Aschermittwoch;Mittwoch
03/28/2021;Palmsonntag;Sonntag
03/28/2021;Sommerzeit Beginn;Sonntag
04.02.2021;Karfreitag;Freitag
04.04.2021;Ostern;Sonntag
04.05.2021;Ostermontag;Montag
